Clases,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7
0,0.005139099451636588,1.845662377594845e-05,1.1211424432168493e-07,1.818810167700854e-07,2.589772497554787e-14,7.810084566715518e-10,-1.9676023547700678e-15
0,0.004957329836276087,1.7120703368972805e-05,9.999004429786693e-08,1.630100109012591e-07,2.074471246883431e-14,6.740590273134953e-10,-1.6638148349946101e-15
0,0.0052346566679401935,1.899755335917352e-05,1.1894578283561623e-07,1.937301313216031e-07,2.931245040925328e-14,8.439320051079265e-10,-2.3727217387675745e-15
0,0.007055611402551061,3.507690061741653e-05,3.0056591086988604e-07,4.832066398608667e-07,1.8375712259328617e-13,2.8609881686959514e-09,-1.2006190108103172e-14
0,0.005036353606240065,1.7725109354506228e-05,1.0667591205148729e-07,1.7179513518735715e-07,2.3184607473440917e-14,7.229215398619045e-10,-1.8307152208259933e-15
0,0.00497728980818874,1.7049926561952088e-05,1.0046086830131073e-07,1.650097991354667e-07,2.1164550362858147e-14,6.809657737460405e-10,-1.850673937648579e-15
0,0.0047748081484762835,1.6180060795169874e-05,9.169454296792238e-08,1.4671729699339515e-07,1.6975696873672013e-14,5.89812917917747e-10,-1.190925543369213e-15
0,0.0050058449305648185,1.752285127816842e-05,1.0465495044329334e-07,1.693517953400969e-07,2.2477852840069645e-14,7.085242278633738e-10,-1.7483595990565625e-15
0,0.005731121915812454,2.2418198608106016e-05,1.5279303167221958e-07,2.541887470999208e-07,4.990753446472046e-14,1.2028523510288143e-09,-4.31892565292255e-15
0,0.005063005626287977,1.8099645357031816e-05,1.0973289358911547e-07,1.758695556627107e-07,2.4367856138805512e-14,7.47804377282065e-10,-1.765659622470798e-15
0,0.0050679537120970845,1.7800019491621833e-05,1.080027291548956e-07,1.7625642172462467e-07,2.4240080651578172e-14,7.431937916860782e-10,-1.949999745851165e-15
0,0.00457198660299873,1.4641449705784094e-05,8.094115236407635e-08,1.2981913843526043e-07,1.3265137076140368e-14,4.964013333994712e-10,-1.0595648300828676e-15
0,0.005227786370014571,1.891686184963946e-05,1.1752147740079501e-07,1.926985633758947e-07,2.891014813693792e-14,8.376862304068407e-10,-2.262619190917169e-15
0,0.005172861536272159,1.84001080997581e-05,1.1399368460700237e-07,1.8684370661152745e-07,2.7170349359160327e-14,8.012070613406547e-10,-2.309209929430323e-15
0,0.004620074538212512,1.5541497759576415e-05,8.863063822222767e-08,1.3586778341686434e-07,1.488115550588939e-14,5.353457459385778e-10,-9.209129391916689e-16
1,0.004625513752814785,1.5586769099606256e-05,9.493872203356232e-08,1.3523354666908459e-07,1.5246912377923628e-14,5.327034592150413e-10,-1.5267310586089251e-15
1,0.004832352040908191,1.7925158945945966e-05,1.2173020688112877e-07,1.6199132623011604e-07,2.2684870189099916e-14,6.843367672625483e-10,-1.6890595020545606e-15
1,0.005037081577603343,1.9073763415044083e-05,1.2587117938699092e-07,1.7379310182662175e-07,2.561154896095731e-14,7.574133617631012e-10,-2.1859495638612896e-15
1,0.004632694534419714,1.6103498162435e-05,9.678554144040411e-08,1.3602506255307687e-07,1.5553931179984967e-14,5.446650522964637e-10,-1.2921367666358142e-15
1,0.004886452039616489,1.812869958127087e-05,1.1683470139039543e-07,1.607708155329706e-07,2.1965882647094816e-14,6.829946302073205e-10,-1.733425865308074e-15
1,0.004958433588511356,1.8506430713011703e-05,1.234492886068518e-07,1.6971704379463282e-07,2.4481967854091163e-14,7.283940174798507e-10,-2.02882910565536e-15
1,0.005069055701779064,1.9264302110747054e-05,1.313329738627837e-07,1.809504515731234e-07,2.778835403431865e-14,7.922647982682712e-10,-2.4369065992844245e-15
1,0.004858439916413809,1.7570604453927902e-05,1.1304215445664947e-07,1.5771957526788667e-07,2.0977017516778156e-14,6.596155374777377e-10,-1.86236701745182e-15
1,0.004642405300518403,1.5034266928325367e-05,9.261649689533478e-08,1.360353743581007e-07,1.515711871239682e-14,5.26159918633856e-10,-1.8483276099158627e-15
1,0.005078891924502823,1.9426580368554007e-05,1.321982569573136e-07,1.814104005546429e-07,2.79894899610396e-14,7.976863076916011e-10,-2.415418174915254e-15
1,0.0053694239026819916,2.2111767938669522e-05,1.5791979859851052e-07,2.1308554223885346e-07,3.8972126990996894e-14,9.997758211950593e-10,-3.0142979803547275e-15
1,0.004778029553979591,1.724801350510049e-05,1.1129628522845963e-07,1.5234424182903162e-07,1.976907109151793e-14,6.312717952233678e-10,-1.6421239379818375e-15
1,0.004144394353617101,1.2225932654387204e-05,6.621337411810583e-08,9.660537803783627e-08,7.68162594913567e-15,3.3720023010939807e-10,-8.301973693362051e-16
1,0.006099209687619549,2.8956495175561998e-05,2.43013679385747e-07,3.18988974903564e-07,8.859503263656567e-14,1.7119150260805316e-09,-6.225253815612102e-15
1,0.005930312680869363,2.5926837405844038e-05,1.9629277490509983e-07,2.7416595478984966e-07,6.329062503477575e-14,1.393177321543605e-09,-6.2882682929295e-15
1,0.0048145080293535095,1.7608825991293437e-05,1.1268739831752603e-07,1.5480665717347882e-07,2.0384254266109354e-14,6.481783174202579e-10,-1.5961208379370828e-15
1,0.0050260983366034115,1.8213850418325105e-05,1.2083285035535475e-07,1.7315141789502564e-07,2.4906604585350443e-14,7.36991976617483e-10,-2.6350627399433986e-15
1,0.0046287595117273156,1.588790360280342e-05,9.640249186028131e-08,1.359543731777089e-07,1.5503580044555236e-14,5.407261330176545e-10,-1.3752265586546315e-15
2,0.00665528646739761,3.083921297290203e-05,2.7681295729544354e-07,4.100654243552446e-07,1.3745816208634257e-13,2.275096028081707e-09,-1.3878544304450059e-14
2,0.006524069925314116,2.9419129338298603e-05,2.571370972558572e-07,3.899794246691943e-07,1.2282852424048058e-13,2.1125338688326765e-09,-1.280058962393223e-14
2,0.00662561507601477,3.037145526293196e-05,2.7256389859193966e-07,4.047523853135719e-07,1.3370609300541793e-13,2.2285348150055144e-09,-1.3998010587900706e-14
2,0.006404584801144774,2.8774215359900173e-05,2.513411636737953e-07,3.692757129901427e-07,1.1195359395277592e-13,1.9794097109452094e-09,-1.1088638632332252e-14
2,0.007125706393104045,3.478894989996642e-05,3.432795043272141e-07,5.095319960452255e-07,2.1180030067503962e-13,3.0025850291904673e-09,-2.3489511669360282e-14
2,0.005297710542158572,1.9212397399844984e-05,1.3814449427486551e-07,2.0602833296963417e-07,3.452938155473047e-14,9.019680769688159e-10,-3.98169780773403e-15
2,0.008422526785877644,4.653259263199068e-05,5.613140615206775e-07,8.591541744698398e-07,5.914997604774933e-13,5.8556711312937686e-09,-7.812053359170694e-14
2,0.007290952505446623,3.614932183769016e-05,3.6521345677720023e-07,5.447080859310091e-07,2.414031129576766e-13,3.2719451721483765e-09,-2.7383239292800085e-14
