Clase,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7,Caracteristica 8,Caracteristica 9,Caracteristica 10,Caracteristica 11,Caracteristica 12,Caracteristica 13,Caracteristica 14,Caracteristica 15,Caracteristica 16,Caracteristica 17,Caracteristica 18,Caracteristica 19,Caracteristica 20,Caracteristica 21,Caracteristica 22,Caracteristica 23,Caracteristica 24,Caracteristica 25,Caracteristica 26,Caracteristica 27,Caracteristica 28,Caracteristica 29,Caracteristica 30,Caracteristica 31,Caracteristica 32,Caracteristica 33,Caracteristica 34,Caracteristica 35,Caracteristica 36,Caracteristica 37,Caracteristica 38,Caracteristica 39,Caracteristica 40,Caracteristica 41,Caracteristica 42,Caracteristica 43,Caracteristica 44,Caracteristica 45,Caracteristica 46,Caracteristica 47,Caracteristica 48,Caracteristica 49,Caracteristica 50,Caracteristica 51,Caracteristica 52,Caracteristica 53,Caracteristica 54,Caracteristica 55,Caracteristica 56,Caracteristica 57,Caracteristica 58,Caracteristica 59,Caracteristica 60,Caracteristica 61,Caracteristica 62,Caracteristica 63,Caracteristica 64,Caracteristica 65,Caracteristica 66,Caracteristica 67,Caracteristica 68,Caracteristica 69,Caracteristica 70,Caracteristica 71,Caracteristica 72,Caracteristica 73,Caracteristica 74,Caracteristica 75,Caracteristica 76,Caracteristica 77,Caracteristica 78,Caracteristica 79,Caracteristica 80
+2,91,85,82,82,81,77,76,74,74,74,73,72,72,72,71,70,70,70,70,69,69,69,69,69,69,69,69,69,37,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,31,26,16,15,15,14,15,15,15,14,14,15,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,72,72,71,71
+2,88,83,80,79,76,75,73,72,71,71,70,69,69,68,68,67,67,66,66,66,66,66,66,66,66,66,66,66,66,28,28,28,28,28,27,27,27,28,28,28,27,27,28,28,28,28,27,26,12,11,12,11,11,11,11,11,11,11,12,18,26,27,28,28,28,28,28,27,28,28,28,28,27,27,27,28,28,29,32,68
+2,94,85,81,80,78,76,74,74,73,72,71,70,70,69,69,69,68,68,67,67,67,67,67,67,66,66,66,66,66,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,23,15,12,12,12,12,12,12,12,12,12,13,28,29,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,70,70,69
+2,92,85,82,79,78,76,75,74,73,72,71,71,70,69,69,68,68,68,67,67,67,67,67,67,67,66,66,66,66,66,34,29,29,28,28,28,28,28,28,29,29,28,28,28,28,28,28,28,28,27,12,12,12,12,12,12,12,12,12,12,12,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
0,45,41,38,36,35,33,32,31,30,29,28,27,27,26,25,24,24,23,23,22,22,22,21,21,21,20,20,20,19,19,19,19,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18
0,50,46,43,40,38,37,36,34,33,32,31,30,30,29,28,27,27,26,25,25,24,24,23,23,22,22,22,22,21,21,21,20,20,20,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19
0,57,50,48,46,43,41,40,39,38,37,35,34,35,34,32,32,31,30,30,29,29,28,28,27,27,27,26,26,25,25,25,24,24,24,23,24,24,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,23,23,23,23,23,24,24
0,51,46,43,41,38,37,35,33,32,31,30,30,29,28,27,26,26,25,24,24,23,23,23,22,22,22,21,21,20,20,19,19,19,19,19,19,18,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17
1,58,57,57,57,56,56,56,56,55,54,54,53,53,52,51,49,48,47,46,44,42,39,33,28,27,27,27,27,27,27,27,27,27,27,27,27,27,28,52,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
1,64,63,62,63,62,62,61,61,60,60,59,59,59,58,57,55,54,54,53,49,48,45,41,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,57,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,58,58,58,58,58
